gene1,strand1,chrom1,gene2,strand2,chrom2,RNA_split_read_count,variant_count,DNA_split_reads_at_variants,variant_names,transcript_length,score
PREX1,antisense,20,SPAG4,antisense,20,2,2,24|10,24977|25086,1896800,21.00
PDE8A,antisense,15,RP11-66B24.5,sense,15,2,0,,,15686326,0.00
PDE8A,antisense,15,RP11-66B24.5,antisense,15,2,0,,,15574078,0.00
PDE8A,sense,15,RP11-66B24.5,sense,15,2,0,,,15845031,0.00
PDE8A,sense,15,RP11-66B24.5,antisense,15,2,0,,,15732783,0.00
CPEB4,antisense,5,ERGIC1,sense,5,2,3,23|21|13,27324|27326|4938,28760857,21.00
CPEB4,antisense,5,ERGIC1,sense,5,2,3,13|21|23,4938|27326|27324,28760857,21.00
CPEB4,antisense,5,ERGIC1,antisense,5,2,3,23|21|13,27324|27326|4938,28642447,21.00
CPEB4,antisense,5,ERGIC1,antisense,5,2,3,13|21|23,4938|27326|27324,28642447,21.00
CPEB4,sense,5,ERGIC1,sense,5,2,3,23|21|13,27324|27326|4938,28687161,21.00
CPEB4,sense,5,ERGIC1,sense,5,2,3,13|21|23,4938|27326|27324,28687161,21.00
CPEB4,sense,5,ERGIC1,antisense,5,2,3,23|21|13,27324|27326|4938,28568751,21.00
CPEB4,sense,5,ERGIC1,antisense,5,2,3,13|21|23,4938|27326|27324,28568751,21.00
CPEB4,antisense,5,ERGIC1,sense,5,2,0,,,7012599,0.00
CPEB4,antisense,5,ERGIC1,sense,5,2,0,,,4994017,0.00
CPEB4,antisense,5,ERGIC1,antisense,5,2,0,,,7131009,0.00
CPEB4,antisense,5,ERGIC1,antisense,5,2,0,,,4875607,0.00
CPEB4,sense,5,ERGIC1,sense,5,2,0,,,6938903,0.00
CPEB4,sense,5,ERGIC1,sense,5,2,0,,,5067713,0.00
CPEB4,sense,5,ERGIC1,antisense,5,2,0,,,7057313,0.00
CPEB4,sense,5,ERGIC1,antisense,5,2,0,,,4949303,0.00
